"TIME","cuadrada","triangular","RV1(3)","wtf?","wtf?"
0.1010998114,2.6265,-4.34882,5.85541e-010,0.115101,0.115101
0.1010999834,0.39716,-4.3493,7.11961e-010,0.115723,0.115723
0.1011002065,-2.50629,-4.34927,8.76513e-010,0.11653,0.11653
0.1011006527,-8.35131,-4.34757,1.20765e-009,0.118143,0.118143
0.1011008778,-10.3904,-4.34264,-2.63232e-010,0.118961,0.118961
0.1011011238,-10.4277,-4.33261,-5.56253e-009,0.119854,0.119854
0.1011011987,-10.432,-4.33298,-7.05106e-009,0.120118,0.120118
0.1011012711,-10.4361,-4.33333,-8.42435e-009,0.120373,0.120373
0.1011013141,-10.4386,-4.33296,-9.21099e-009,0.120524,0.120524
0.1011013825,-10.441,-4.33238,-1.04181e-008,0.12077,0.12077
0.1011014539,-10.4435,-4.33176,-1.1623e-008,0.121027,0.121027
0.1011015421,-10.4466,-4.33101,-1.30339e-008,0.121345,0.121345
0.1011016352,-10.4487,-4.33021,-1.44373e-008,0.12168,0.12168
0.1011018062,-10.4526,-4.32874,-1.68019e-008,0.122295,0.122295
0.1011021218,-10.4568,-4.32603,-2.05411e-008,0.12343,0.12343
0.1011024362,-10.4609,-4.32333,-2.35736e-008,0.124561,0.124561
0.101103065,-10.4653,-4.31784,-2.80917e-008,0.126815,0.126815
0.1011043227,-10.4698,-4.30686,-3.3286e-008,0.131321,0.131321
0.101106062,-10.4708,-4.29169,-3.61403e-008,0.13753,0.13753
0.1011082438,-10.4721,-4.27265,-3.69453e-008,0.145285,0.145285
0.1011111712,-10.472,-4.24711,-3.6839e-008,0.155633,0.155633
0.101115348,-10.472,-4.21066,-3.65618e-008,0.170285,0.170285
0.1011227003,-10.4719,-4.1465,-3.64199e-008,0.195754,0.195754
0.1011374049,-10.4718,-4.01819,-3.6418e-008,0.245457,0.245457
0.1011668142,-10.4716,-3.76157,-3.64374e-008,0.339935,0.339935
0.1012256327,-10.4715,-3.24833,-3.64418e-008,0.509259,0.509259
0.1013432697,-10.4714,-2.22184,-3.64505e-008,0.769986,0.769986
0.1015785438,-10.4712,-0.168926,-3.6468e-008,0.984582,0.984582
0.1017731861,-10.4711,1.52945,-3.64825e-008,0.857701,0.857701
0.1018218466,-10.4711,1.95404,-3.64861e-008,0.774712,0.774712
0.1019191678,-10.471,2.80323,-3.64933e-008,0.568619,0.568619
0.101943498,-10.471,3.01553,-3.64951e-008,0.506257,0.506257
0.1019921586,-10.4686,3.43988,-3.33335e-008,0.371599,0.371599
0.1020395214,-10.4568,3.85292,-2.10616e-008,0.225764,0.225764
0.1020881964,-10.4084,4.27569,-3.08207e-009,0.0600735,0.0600735
0.1020889045,-10.4056,4.28184,-2.78094e-009,0.0575402,0.0575402
