"FREQ","wtf?"
31400,-79.1548
31500,-78.9468
31600,-78.7805
31700,-79.0872
31800,-78.9207
31900,-79.0703
32000,-78.9887
32100,-79.0848
32200,-79.0645
32300,-79.1903
32400,-79.1362
32500,-79.1835
32600,-79.0976
32700,-79.1663
32800,-79.2021
32900,-79.6166
33000,-79.4214
33100,-79.3093
33200,-79.4539
33300,-79.3646
33400,-79.5236
33500,-79.6448
33600,-79.46
33700,-79.6667
33800,-79.4809
33900,-79.6001
34000,-79.5527
34100,-79.7658
34200,-79.6265
34300,-79.4286
34400,-79.4538
34500,-79.7504
34600,-79.5925
34700,-79.7532
34800,-79.4949
34900,-79.7232
35000,-79.7609
35100,-79.7357
35200,-79.7723
35300,-79.9567
35400,-79.7943
35500,-79.7126
35600,-79.7869
35700,-79.9046
35800,-79.6978
35900,-79.8665
36000,-79.8095
36100,-79.9397
36200,-80.0986
36300,-79.9592
36400,-80.0214
36500,-79.8356
36600,-80.1178
36700,-80.2127
36800,-80.0316
36900,-80.3341
37000,-80.0515
37100,-80.0831
37200,-79.9974
37300,-80.1703
37400,-80.0798
37500,-79.9897
37600,-80.0054
37700,-79.8493
37800,-80.2693
37900,-80.1528
38000,-80.0423
38100,-80.3162
38200,-80.2792
38300,-80.3775
38400,-80.1717
38500,-80.1803
38600,-80.2151
38700,-80.2832
38800,-80.2267
38900,-80.2745
39000,-80.3035
39100,-80.1658
39200,-80.4157
39300,-80.397
39400,-80.3526
39500,-80.2924
39600,-80.3632
39700,-80.4127
39800,-80.3889
39900,-80.3077
40000,-80.5923
