"FREQ","triangular"
35900,-68.2749
36000,-68.3184
36100,-68.3355
36200,-68.3479
36300,-68.3271
36400,-68.2684
36500,-68.0314
36600,-65.0139
36700,-65.6016
36800,-68.1819
36900,-68.3839
37000,-68.4547
37100,-68.4787
37200,-68.4824
37300,-68.4676
37400,-68.4106
37500,-68.1961
37600,-65.6212
37700,-65.4952
37800,-68.2983
37900,-68.5391
38000,-68.586
38100,-68.6015
38200,-68.6144
38300,-68.5917
38400,-68.5468
38500,-68.356
38600,-66.2694
38700,-65.3874
38800,-68.4314
38900,-68.6317
39000,-68.7062
39100,-68.7237
39200,-68.7318
39300,-68.7122
39400,-68.6752
39500,-68.5009
39600,-66.7482
39700,-65.3028
39800,-68.5401
39900,-68.7708
40000,-68.817
