"FREQ","cuadrada"
32900,0.0261526
33000,0.0213564
33100,0.0194764
33200,0.0198681
33300,0.0221275
33400,0.0281866
33500,0.0473539
33600,0.181172
33700,0.100527
33800,0.0399475
33900,0.0274165
34000,0.0221482
34100,0.020068
34200,0.0203195
34300,0.0225277
34400,0.0285761
34500,0.0473059
34600,0.168881
34700,0.110353
34800,0.0422329
34900,0.0286943
35000,0.0230252
35100,0.0207189
35200,0.0208689
35300,0.0229703
35400,0.028941
35500,0.0470859
35600,0.157302
35700,0.119289
35800,0.0435491
35900,0.0291843
36000,0.0232009
36100,0.0207765
36200,0.0207881
36300,0.0227793
36400,0.0285365
36500,0.0459459
36600,0.146014
36700,0.128066
36800,0.0446491
36900,0.0296368
37000,0.0234127
37100,0.0208281
37200,0.0207507
37300,0.0225866
37400,0.0281443
37500,0.0446281
37600,0.135148
37700,0.135918
37800,0.0448139
37900,0.0293915
38000,0.0230168
38100,0.0204048
38200,0.0202132
38300,0.0219327
38400,0.0271683
38500,0.042562
38600,0.124674
38700,0.143498
38800,0.044722
38900,0.0290024
39000,0.0225737
39100,0.0199192
39200,0.01965
39300,0.0212302
39400,0.0262322
39500,0.0404187
39600,0.114432
39700,0.150147
39800,0.0438953
39900,0.0280843
40000,0.0216869
